case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
Ar4.9,good_x_medium,0.047289,0.089530,0.091099,0.090307,403.15,True,,,1,False,True,,83.68,5205,8799,,
Art4D04,good_x_medium,0.067176,0.079967,0.295758,0.125895,260.41,True,,,1,False,True,,124.16,2013,12743,,
Art4D11,good_x_medium,0.000000,0.000000,0.000000,0.000000,394.95,True,,,1,False,True,,59.04,2011,5616,,
B4BE31D4-36A8-452E-97FF-04A53362B26C,good_x_easy,0.000000,0.000000,0.000000,0.000000,574.73,True,,,1,False,True,,109.17,3148,9849,,
C69CB574-81DC-4130-B7D7-EB68C744D477,good_x_medium,0.000000,0.000000,0.000000,0.000000,977.21,True,,,2,True,True,,100.66,4671,9961,,
C97065B6-03D0-48C4-AE0E-508DB0BE644B,good_x_medium,0.000000,0.000000,0.000000,0.000000,1175.78,True,,,1,False,True,,72.48,3647,10273,,
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,good_x_medium,0.000000,0.000000,0.000000,0.000000,805.65,True,,,1,False,True,,38.90,3075,3250,,
CB:11:04552:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,655.34,True,,,1,False,True,,65.29,1479,8053,,
CB:75:00001:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,89482.81,True,,,1,False,True,,184.58,1479,18975,,
CB:82:00001:ART4,bad_x_easy,0.000000,0.000000,0.000000,0.000000,742.87,True,,,1,False,True,,87.96,3075,7695,,
CPA4(1a),bad_x_hard,0.000000,0.000000,0.000000,0.000000,244.64,True,,,1,False,True,,64.40,2011,8491,,
CPA4(2a),good_x_medium,0.215111,0.220639,0.895676,0.354059,173.14,True,,,1,False,True,,48.33,27088,6900,,
CPA4(3a),good_x_medium,0.068386,0.090015,0.221549,0.128017,392.76,True,,,1,False,True,,53.81,3607,5967,,
D9176429-F30F-4638-A67E-3B87E7ED603D,good_x_easy,0.000000,0.000000,0.000000,0.000000,1431.75,True,,,1,False,True,,40.38,3075,4373,,
D93BF228-6271-4271-A085-9DAB7155FC66,good_x_medium,0.000000,0.000000,0.000000,0.000000,1378.66,True,,,1,False,True,,77.76,4153,10516,,
DEEADDA2-0FC2-422B-B738-F5D274549610,good_x_easy,0.000000,0.000000,0.000000,0.000000,803.16,True,,,1,False,True,,157.90,6340,14587,,
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,good_x_easy,0.000000,0.000000,0.000000,0.000000,595.99,True,,,1,False,True,,134.88,3680,12946,,
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,good_x_easy,0.000000,0.000000,0.000000,0.000000,1187.86,True,,,1,False,True,,26.72,3662,2167,,
F9A7310C-0DDD-469E-B34D-C270A186070F,good_x_medium,0.023984,0.041739,0.053371,0.046844,337.87,True,,,1,False,True,,27.17,3148,3779,,
FA067403-6115-4489-9ED0-2CF26FC2D299,good_x_easy,0.000000,0.000000,0.000000,0.000000,447.07,True,,,1,False,True,,32.56,3680,2777,,
